Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007805|510|2025-08-05|COVE257T2LC93|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:00|
3992|5007425|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:06|
3992|5007413|510|2025-09-01|COVE257SBR8B6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:11:03|
3992|5007869|510|2025-09-15|COVE257T0JNQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:00|
3992|5006943|510|2025-07-28|COVE257RZH877|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:05|
3992|5007801|510|2025-09-02|COVE257SVUDK1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:47:02|
3992|5007717|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:06|
3992|5007110|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:03|
3992|5007123|510|2025-08-27|COVE257RHOK05|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:04:04|
3992|5007450|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:07|
3992|5007805|510|2025-08-28|COVE257T2KSN1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:00|
3992|5007103|510|2025-08-18|COVE257RHOBC1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:37:01|
3992|5007897|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:02|
3992|5007427|510|2025-08-18|COVE257SBU8M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:49:01|
3992|5007465|510|2025-08-25|COVE257SJ55G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:03|
3992|5007276|510|2025-08-26|COVE257SX9GM4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:51:03|
3992|5006990|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:04|
3992|5007406|510|2025-09-09|COVE257SBTY74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:05|
3992|5007239|510|2025-08-14|COVE257S5L9N3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:12:02|
3992|5007162|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:02|
3992|5007788|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:02|
3992|5007948|510|2025-09-23|COVE257T5QP02|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 17:23:01|
3992|5007744|510|2025-09-09|COVE257SVW9V2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:11:01|
3992|5006678|510|2025-08-22|COVE257RZQY83|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 14:44:01|
3992|5007787|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:01|
3992|5007870|510|2025-09-15|COVE257T0JNQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:01|
3992|5007477|510|2025-08-28|COVE257SWWQL4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:04|
3992|5007447|510|2025-08-26|COVE257SUNXY8|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:02|
3992|5007901|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:03|
3992|5007332|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:55:03|
3992|5007376|510|2025-09-02|COVE257SBTBB5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:42:01|
3992|5007879|510|2025-09-22|COVE257T0KQD5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:53:01|
3992|5007829|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:03|
3992|5007416|510|2025-09-09|COVE257SCWSQ7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:02|
3992|5007423|510|2025-08-29|COVE257SBB1C4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 18:31:05|
3992|5007803|510|2025-09-02|COVE257SVUDK1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:47:03|
3992|5007842|510|2025-08-30|COVE257T5VWS2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 19:49:00|
3992|5007780|510|2025-09-16|COVE257SVG4J6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:10:01|
3992|5007737|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:10:05|
3992|5007742|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:11:06|
3992|5007889|510|2025-09-24|COVE257T1FNW6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 18:25:01|
3992|5007297|510|2025-09-01|COVE257SXPCO1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 15:14:01|
3992|5007481|510|2025-08-28|COVE257SWWQL4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:06|
3992|5006729|510|2025-08-25|COVE257SW8457|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:09:01|
3992|5007400|510|2025-08-26|COVE257SUIF98|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:00|
3992|5007446|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:06|
3992|5007330|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:55:02|
3992|5007791|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 16:49:03|
3992|5007860|510|2025-09-08|COVE257T0NRW2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:00|
3992|5007003|510|2025-09-01|COVE257SMLDR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 15:24:02|
3992|5007407|510|2025-09-09|COVE257SBTY74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:05|
3992|5007896|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:02|
3992|5006734|510|2025-08-25|COVE257SW8457|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:09:02|
3992|5007399|510|2025-08-26|COVE257SUIF98|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:02|
3992|5007453|510|2025-08-26|COVE257SUNXY8|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:03|
3992|5007887|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:01|
3992|5007875|510|2025-09-29|COVE257T0TB18|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:02|
3992|5007401|510|2025-08-26|COVE257SUIF98|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 15:35:03|
3381|5009443|370|2025-10-09|5C1A50B9-0520-4B5B-B689-214D10B22AF8|EXW|USD|2017.50|2017.50|GTM| |120198134|MOTOSVENTO GT, SOCIEDAD ANONIMA|5 CALLE||13-40 A|01006|ZONA 6, GUATEMALA, CIUDAD DE GUATEMALA|2025-10-31 12:18:01|
3992|5007867|510|2025-09-08|COVE257T0NRW2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:08:02|
3992|5007805|510|2025-08-30|COVE257T2K267|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:00|
3992|5007260|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:19:01|
3992|5007471|510|2025-09-12|COVE257SJBI74|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:06|
3992|5007782|510|2025-09-16|COVE257SVHVX5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:43:02|
3992|5006731|510|2025-08-25|COVE257SW8457|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 00:21:05|
3992|5007467|510|2025-08-25|COVE257SJ8794|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:04|
3992|5007691|510|2025-09-08|COVE257SVEE17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:03|
3992|5007441|510|2025-08-26|COVE257SUNXY8|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:01|
3992|5007826|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:04|
3992|5007797|510|2025-08-18|COVE257SWSYK7|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:21:01|
3992|5007111|510|2025-09-01|COVE257SV7TJ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:04|
3992|5007741|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:11:04|
3992|5007825|510|2025-09-08|COVE257SV7IT5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:00|
3992|5007795|510|2025-09-02|COVE257SXNEM8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:12:02|
3992|5007798|510|2025-09-02|COVE257SVUDK1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:47:00|
3992|5007013|510|2025-09-01|COVE257SV7TJ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:14:01|
3992|5007805|510|2025-08-28|COVE257T2K7B8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:00|
3992|5007272|510|2025-08-20|COVE257S71V17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 15:34:00|
3992|5007682|510|2025-08-25|COVE257SJAHS8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:19:02|
3992|5007950|510|2025-09-23|COVE257T65QO2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 18:16:02|
3992|5007866|510|2025-09-08|COVE257T0NSJ6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 15:09:01|
3992|5007753|510|2025-09-16|COVE257SN5V77|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 17:10:02|
3992|5006997|510|2025-09-01|COVE257SMLDR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 15:24:01|
3992|5007874|510|2025-09-29|COVE257T0TB18|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:01|
3992|5007106|510|2025-09-01|COVE257SV7TJ3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:04|
3992|5007881|510|2025-09-22|COVE257T0KQD5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:54:02|
3992|5007878|510|2025-09-29|COVE257T0VHH3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:03|
3992|5007274|510|2025-08-26|COVE257SX9GM4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:51:02|
3992|5007479|510|2025-08-28|COVE257SWWQL4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 12:19:05|
3992|5007876|510|2025-09-29|COVE257T0TB18|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 16:02:02|
3992|5007898|510|2025-09-08|COVE257T16GL2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-29 20:28:03|
3992|5007781|510|2025-09-16|COVE257SVHVX5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 14:10:01|
3992|5007275|510|2025-08-26|COVE257SX9GM4|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-28 13:51:03|
3992|5007429|510|2025-08-18|COVE257SBU8M6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 20:49:01|
3992|5007707|510|2025-08-18|COVE257SIXN82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:17:02|
3381|5009420|370|2025-09-25|AC509FA6-C545-466B-A95E-EE5D9344357C|EXW|USD|40587.00|40587.00|HND| |08019025187502|VENTO MOTORCYCLES HONDURAS S.A.|BLV. MORAZAN||S/N|SN|COLONIA LOS ALMENDRO, TEGUCIGALPA|2025-10-24 17:25:01|
3992|5007799|510|2025-09-02|COVE257SVUDK1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 18:47:01|
3992|5007842|510|2025-08-30|COVE257T5VWX1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 19:49:00|
3992|5007955|510|2025-09-02|COVE257T6C2J2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 16:51:01|
3992|5007387|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:01|
3992|5007397|510|2025-08-14|COVE257SBUMQ6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:06|
3992|5007833|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:01|
3992|5007252|510|2025-08-22|COVE257S71EE6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 16:24:00|
3992|5007369|510|2025-08-29|COVE257SBKD11|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:09|
3992|5007361|510|2025-08-22|COVE257S9TG46|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:46:03|
3992|5007309|510|2025-09-09|COVE257SBW6G8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 21:23:02|
