Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007404|510|2025-09-09|COVE257SBTJK3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:08|
3992|5007222|510|2025-09-02|COVE257RZJKY4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 11:11:02|
3992|5006869|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:04|
3992|5007937|510|2025-08-05|COVE257T3ZIT5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-30 17:57:01|
3992|5007000|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:02|
3992|5007280|510|2025-09-02|COVE257S06QU7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 18:07:01|
3992|5007952|510|2025-09-23|COVE257T6EJ91|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-31 18:16:02|
3992|5006987|510|2025-08-18|COVE257RHPKA6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:34:02|
3992|5007415|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:01|
3992|5007738|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:10:06|
3992|5007368|510|2025-08-29|COVE257SBGI82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:07|
3992|5006867|510|2025-08-18|COVE257RIERN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 17:09:03|
3992|5007692|510|2025-09-08|COVE257SVEE17|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:43:03|
3992|5007396|510|2025-08-28|COVE257SBOFQ8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:48:04|
3992|5007299|510|2025-07-25|COVE257S0CRW7|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 19:21:01|
3992|5007263|510|2025-08-20|COVE257SB7HT2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:05|
3992|5006749|510|2025-08-14|COVE257SAHSZ3|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:02|
