Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3992|5007161|510|15|0|290|1|2025-10-02 16:12:03|
3992|5007470|510|15|0|290|1|2025-10-21 16:17:05|
3992|5007164|510|15|0|290|1|2025-10-02 16:12:03|
3992|5007692|510|23|0|46|1|2025-10-27 17:43:03|
3992|5007126|510|15|0|290|1|2025-10-03 12:58:00|
3992|5007289|510|23|0|46|1|2025-10-10 17:49:01|
3992|5007249|510|15|0|290|1|2025-10-16 15:07:03|
3992|5007307|510|1|0|4973|1|2025-10-17 12:02:04|
3992|5007350|510|15|0|290|1|2025-10-17 12:02:05|
3992|5007424|510|1|0|14041|1|2025-10-16 18:31:05|
3992|5007790|510|1|0|11224|1|2025-10-27 17:18:03|
3992|5007753|510|23|0|46|1|2025-10-22 17:10:02|
3992|5007689|510|15|0|290|1|2025-10-27 17:43:01|
3992|5007098|510|15|0|290|1|2025-10-03 12:03:01|
3992|5007202|510|15|0|290|1|2025-10-13 11:11:01|
3992|5007702|510|15|0|290|1|2025-10-21 16:00:05|
3992|5006872|510|1|0|19924|1|2025-10-10 17:49:05|
3992|5007370|510|23|0|46|1|2025-10-16 19:47:10|
3992|5007888|510|23|0|46|1|2025-10-29 18:25:01|
3992|5007254|510|1|0|12216|1|2025-10-15 16:24:01|
3992|5007229|510|1|0|14137|1|2025-10-16 15:07:03|
3992|5007801|510|23|0|46|1|2025-10-27 18:47:02|
3992|5007365|510|15|0|290|1|2025-10-16 19:47:08|
3992|5007136|510|23|0|46|1|2025-10-02 15:12:02|
3992|5007791|510|23|0|46|1|2025-10-28 16:49:03|
3992|5007305|510|1|0|4973|1|2025-10-17 12:02:04|
3992|5007814|510|15|0|290|1|2025-10-29 15:37:01|
3992|5007119|510|1|0|6820|1|2025-10-03 12:58:01|
3992|5006941|510|15|0|290|1|2025-10-10 17:49:03|
3992|5007277|510|15|0|290|1|2025-10-15 15:27:00|
3992|5006686|510|1|0|15951|1|2025-10-13 14:44:01|
3992|5007378|510|23|0|46|1|2025-10-16 21:42:02|
3992|5007406|510|23|0|46|1|2025-10-16 19:48:05|
3992|5007408|510|15|0|290|1|2025-10-16 19:48:06|
3992|5007269|510|23|0|46|1|2025-10-15 15:33:04|
3992|5007116|510|15|0|290|1|2025-10-10 16:21:02|
3992|5007201|510|15|0|290|1|2025-10-10 16:23:01|
3992|5007787|510|23|0|46|1|2025-10-27 17:18:01|
3992|5007375|510|15|0|290|1|2025-10-16 21:42:01|
3992|5007736|510|15|0|290|1|2025-10-27 13:10:04|
3992|5007729|510|23|0|46|1|2025-10-27 19:11:01|
3992|5007424|510|15|0|290|1|2025-10-16 18:31:05|
3992|5007443|510|23|0|46|1|2025-10-17 13:31:04|
3992|5007363|510|15|0|290|1|2025-10-16 19:47:07|
3992|5007481|510|23|0|46|1|2025-10-28 12:19:06|
3992|5007246|510|1|0|12916|1|2025-10-15 16:16:01|
3992|5007098|510|23|0|46|1|2025-10-03 12:03:01|
3992|5007391|510|15|0|290|1|2025-10-16 19:48:03|
3992|5007429|510|1|0|8243|1|2025-10-16 20:49:01|
3992|5007828|510|23|0|46|1|2025-10-27 19:03:01|
3992|5007330|510|23|0|46|1|2025-10-15 13:55:02|
3992|5007737|510|15|0|290|1|2025-10-27 13:10:05|
3992|5006997|510|15|0|290|1|2025-10-22 15:24:01|
3992|5007164|510|23|0|46|1|2025-10-02 16:12:03|
3992|5007130|510|1|0|11723|1|2025-10-03 14:21:04|
3992|5007403|510|23|0|46|1|2025-10-16 19:48:07|
3992|5007330|510|1|0|6811|1|2025-10-15 13:55:02|
3992|5007683|510|1|0|14683|1|2025-10-21 16:19:02|
3992|5007132|510|23|0|46|1|2025-10-03 14:21:04|
